frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
240,0.245,0.885,5.087,0.088,0.660,0.082,0.226,2.071
266,0.262,0.709,5.915,0.058,0.533,0.083,0.185,2.305
107,0.268,0.625,2.891,0.055,0.687,0.082,0.161,0.620
60,0.269,0.484,1.970,0.034,0.377,0.082,0.143,0.387
53,0.273,1.281,3.857,0.076,0.353,0.088,0.348,1.107
154,0.247,1.240,8.486,0.184,2.902,0.083,0.251,1.980
228,0.258,1.771,7.596,0.292,1.918,0.084,0.384,1.710
59,0.276,0.794,2.589,0.054,0.393,0.088,0.271,0.851
3,0.279,0.281,0.285,0.120,0.633,0.087,0.088,0.089
162,0.259,1.977,9.641,0.433,3.049,0.083,0.337,1.167
