frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
40,0.950,1.313,1.795,0.278,1.207,0.863,1.127,1.457
115,0.306,3.286,22.660,2.426,12.491,0.279,1.740,11.519
120,0.303,2.183,10.185,3.564,17.351,0.273,1.510,8.238
118,0.629,2.117,12.721,0.887,17.642,0.561,3.057,26.790
50,0.621,1.235,2.549,0.267,0.842,0.591,0.976,2.325
42,0.940,1.335,2.000,0.276,0.899,0.574,0.980,1.730
79,0.314,1.816,5.643,0.685,3.546,0.279,1.150,2.889
90,0.284,1.637,3.683,0.524,2.527,0.284,1.017,3.078
30,1.613,1.819,1.968,0.288,0.868,1.429,1.711,2.007
63,0.317,2.188,9.290,1.965,7.313,0.311,1.373,4.966
