frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
38,0.235,0.928,4.423,0.709,3.207,0.296,0.625,2.917
3,0.211,0.221,0.236,0.000,0.000,0.303,0.304,0.305
98,0.213,1.679,11.955,0.555,3.695,0.280,2.299,17.912
63,0.222,2.910,9.157,2.148,12.054,0.277,3.563,11.452
9,0.179,0.605,0.819,0.000,0.000,0.285,0.873,1.196
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0.229,0.694,3.152,0.296,1.502,0.291,0.801,4.205
48,0.186,1.030,5.526,0.700,3.967,0.280,1.019,4.585
21,0.823,1.419,2.605,0.768,2.932,0.858,0.963,1.147
8,0.203,0.556,0.854,0.121,0.305,0.302,0.600,0.890
