frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
83,0.200,1.278,5.737,0.466,2.957,0.149,0.593,3.354
162,0.170,0.805,3.477,0.286,1.732,0.149,0.512,4.517
131,0.162,0.644,2.552,0.249,1.211,0.150,0.312,1.633
65,0.168,0.486,2.478,0.241,1.899,0.148,0.265,0.949
45,0.181,0.463,1.692,0.162,0.955,0.148,0.242,0.508
61,0.169,0.343,1.377,0.064,0.525,0.150,0.207,0.610
97,0.193,0.479,3.757,0.079,0.613,0.148,0.303,3.091
68,0.176,0.314,0.968,0.031,0.453,0.148,0.224,0.531
43,0.196,0.297,0.817,0.037,0.481,0.148,0.194,0.662
51,0.192,0.263,0.623,0.018,0.172,0.149,0.185,0.356
