frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
32,0.256,0.962,2.563,0.113,0.600,0.147,0.472,1.051
46,0.254,0.903,2.101,0.134,1.070,0.148,0.398,1.064
21,0.276,0.551,2.033,0.027,0.163,0.149,0.316,1.159
21,0.254,0.600,2.095,0.052,0.342,0.149,0.312,1.316
5,0.267,0.276,0.284,0.000,0.000,0.153,0.187,0.315
4,1.022,1.022,1.022,0.163,0.325,0.325,0.325,0.325
11,0.283,0.701,1.258,0.051,0.157,0.162,0.353,0.626
17,0.267,0.652,1.367,0.039,0.175,0.153,0.369,0.700
23,0.270,0.546,1.463,0.062,0.343,0.147,0.262,0.812
20,0.267,0.655,1.321,0.106,0.481,0.149,0.272,0.482
