frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
17,0.228,0.616,1.300,0.130,0.597,0.159,0.269,0.454
45,0.225,0.761,2.203,0.150,0.600,0.149,0.436,1.442
65,0.178,0.625,2.479,0.206,1.864,0.152,0.274,1.254
38,0.205,0.405,1.690,0.048,0.428,0.148,0.293,1.185
83,0.211,0.488,2.700,0.091,0.956,0.147,0.294,1.295
39,0.217,0.365,2.522,0.023,0.310,0.148,0.240,2.058
45,0.215,0.321,1.687,0.018,0.300,0.148,0.214,1.065
226,0.211,0.841,3.749,0.249,2.818,0.152,0.382,2.273
195,0.202,0.515,2.805,0.064,1.109,0.146,0.317,1.837
221,0.195,1.032,5.319,0.187,1.673,0.151,0.562,3.074
