frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
29,0.220,0.855,2.784,0.563,2.912,0.278,0.774,1.757
25,0.144,0.710,1.319,0.167,0.580,0.274,1.126,2.447
8,0.177,0.410,0.654,0.227,0.570,0.554,0.566,0.578
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.612,0.613,0.614,0.145,0.293,0.592,0.734,0.877
5,0.822,0.822,0.822,0.144,0.289,1.163,1.163,1.163
12,0.898,0.927,0.955,0.446,0.890,0.889,0.895,0.902
8,0.220,0.554,0.888,0.467,1.119,0.296,0.563,0.831
13,0.861,0.989,1.116,0.337,0.868,0.868,1.158,1.448
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
