frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
2,0.399,0.399,0.399,0.000,0.000,0.542,0.542,0.542
6,0.523,0.528,0.534,0.117,0.303,0.557,0.582,0.608
7,0.719,0.743,0.767,0.380,0.849,0.278,0.568,0.859
12,0.251,0.606,1.025,0.093,0.281,0.288,0.706,1.132
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.238,0.366,1.012,0.135,0.909,0.280,0.295,0.303
6,1.321,1.321,1.321,0.138,0.277,1.377,1.377,1.377
13,0.254,0.606,1.210,0.113,0.302,0.290,0.607,1.570
1,0.265,0.265,0.265,0.000,0.000,0.291,0.291,0.291
16,0.244,0.452,1.305,0.032,0.287,0.282,0.550,1.751
