frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
33,0.747,1.271,1.733,0.191,0.502,0.611,0.995,1.303
6,0.816,0.816,0.816,0.179,0.358,0.679,0.679,0.679
10,0.791,0.850,0.909,0.112,0.299,0.451,0.624,0.797
11,0.191,0.611,1.068,0.151,0.604,0.164,0.374,0.502
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.735,0.735,0.735,0.000,0.000,0.692,0.692,0.692
5,0.804,0.804,0.804,0.230,0.518,0.348,0.348,0.348
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.197,0.660,1.200,0.151,0.451,0.172,0.363,0.598
