frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
62,0.181,0.888,2.339,0.238,0.827,0.156,0.660,2.102
42,1.060,1.335,1.689,0.296,0.928,0.602,0.999,1.532
10,0.330,0.728,1.126,0.247,0.803,0.148,0.317,0.487
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.852,1.003,1.155,0.309,0.782,0.447,0.538,0.630
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.169,0.320,0.831,0.070,0.306,0.163,0.214,0.463
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.932,0.932,0.932,0.227,0.453,0.600,0.600,0.600
