frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.229,0.966,2.801,0.139,0.753,0.080,0.289,0.560
17,0.246,1.240,1.796,0.096,0.401,0.088,0.333,0.669
16,0.238,1.161,3.002,0.072,0.218,0.076,0.320,0.807
23,0.231,1.007,2.419,0.088,0.267,0.071,0.301,0.723
9,1.887,1.887,1.887,0.000,0.000,0.750,0.750,0.750
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.232,0.461,1.320,0.018,0.076,0.072,0.129,0.359
19,0.246,1.017,3.082,0.029,0.100,0.080,0.343,1.112
3,0.236,0.242,0.246,0.000,0.000,0.075,0.078,0.080
