frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
98,0.238,0.668,3.969,0.126,1.304,0.086,0.200,1.228
60,0.247,0.535,4.931,0.202,2.352,0.093,0.125,0.270
35,0.242,0.365,0.962,0.012,0.106,0.086,0.143,0.458
35,0.182,0.368,0.972,0.017,0.103,0.089,0.177,1.198
24,0.244,0.383,0.980,0.032,0.188,0.090,0.132,0.281
43,0.239,0.436,1.588,0.021,0.218,0.087,0.161,0.847
45,0.237,0.511,2.298,0.039,0.225,0.088,0.185,0.795
203,0.238,0.864,2.947,0.070,0.641,0.086,0.265,1.182
203,0.243,1.072,7.704,0.112,1.200,0.085,0.325,1.900
237,0.220,1.147,16.560,0.241,4.544,0.085,0.331,3.417
