frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
47,0.274,1.410,2.331,0.110,0.387,0.092,0.488,0.816
50,0.269,0.680,3.814,0.032,0.181,0.104,0.244,1.370
25,0.279,1.095,1.970,0.126,0.501,0.092,0.350,0.648
72,0.271,0.883,2.249,0.100,0.613,0.089,0.322,1.176
63,0.273,1.665,2.344,0.088,0.339,0.094,0.682,0.921
90,0.273,1.832,7.646,0.099,0.404,0.113,0.693,3.224
60,0.267,0.868,2.221,0.058,0.447,0.088,0.355,0.807
54,0.277,1.115,1.851,0.071,0.452,0.096,0.446,0.701
67,0.267,1.656,2.889,0.119,0.500,0.099,0.628,1.083
64,0.271,1.530,3.704,0.150,0.480,0.099,0.572,1.288
