frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
105,0.243,0.963,7.439,0.398,4.676,0.149,0.444,3.113
76,0.225,0.656,2.728,0.093,0.681,0.147,0.380,1.686
53,0.237,0.513,1.962,0.063,0.511,0.145,0.262,1.181
27,0.234,0.578,1.587,0.052,0.330,0.147,0.315,0.832
19,0.250,0.445,1.115,0.083,0.462,0.147,0.223,0.630
21,0.240,0.663,1.188,0.146,0.484,0.147,0.281,0.459
78,0.247,1.299,6.896,0.325,1.598,0.145,0.825,5.437
63,0.256,1.261,4.427,0.501,2.547,0.147,0.608,1.475
58,0.244,0.759,5.449,0.488,4.798,0.145,0.260,0.983
59,0.238,0.446,1.192,0.054,0.682,0.142,0.224,0.634
