frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
29,0.312,0.718,1.876,0.040,0.172,0.147,0.365,1.037
113,0.295,1.338,9.194,0.568,3.216,0.145,0.456,2.300
24,0.308,0.641,1.369,0.059,0.333,0.152,0.323,0.794
39,0.290,0.767,3.386,0.112,0.593,0.144,0.341,1.299
107,0.243,0.750,2.992,0.078,0.608,0.146,0.388,1.471
179,0.245,0.973,7.049,0.171,2.035,0.145,0.402,1.752
220,0.294,2.214,8.756,0.406,2.911,0.145,0.728,4.836
306,0.295,4.251,32.503,1.043,9.582,0.151,1.515,18.166
49,0.291,1.014,5.259,0.030,0.175,0.146,0.590,3.811
49,0.304,0.661,3.466,0.034,0.162,0.148,0.312,1.772
