frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
18,0.529,0.999,1.388,0.044,0.164,0.324,0.494,0.651
18,0.290,0.794,1.199,0.084,0.347,0.165,0.363,0.621
17,0.541,0.876,1.074,0.080,0.168,0.168,0.382,0.493
12,0.536,0.551,0.569,0.051,0.163,0.150,0.237,0.344
14,0.566,0.917,1.295,0.000,0.000,0.343,0.551,0.804
48,0.291,1.606,5.097,0.325,1.244,0.143,0.597,1.567
26,0.302,1.272,1.727,0.072,0.179,0.168,0.733,1.055
13,0.840,1.140,1.532,0.059,0.150,0.298,0.556,0.735
17,0.577,1.090,1.640,0.085,0.299,0.336,0.545,0.752
131,0.822,5.682,12.002,0.793,5.244,0.302,2.949,9.012
