frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
14,0.226,0.322,0.853,0.000,0.000,0.278,0.404,1.138
12,0.195,0.271,0.447,0.026,0.285,0.283,0.347,0.836
45,0.578,1.320,3.516,0.300,1.143,0.836,1.380,3.693
21,0.240,1.109,1.915,0.258,0.590,0.284,1.094,2.086
37,0.243,0.995,3.836,0.323,1.131,0.280,1.087,5.032
3,0.230,0.334,0.438,0.000,0.000,0.290,0.430,0.569
2,0.403,0.403,0.403,0.000,0.000,0.553,0.553,0.553
48,0.206,0.756,2.320,0.126,0.589,0.276,0.841,3.225
49,0.190,0.499,1.353,0.177,1.156,0.278,0.439,1.158
34,0.232,1.065,3.519,0.295,1.801,0.280,0.941,4.853
