frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
15,0.272,0.597,0.910,0.141,0.559,0.278,0.535,0.831
16,0.257,0.454,0.800,0.101,0.604,0.291,0.405,0.867
35,0.228,0.810,4.405,0.612,4.691,0.280,0.404,1.150
15,0.256,0.483,1.254,0.037,0.297,0.273,0.550,1.167
18,0.255,0.769,2.593,0.134,0.608,0.274,0.742,2.366
6,0.605,0.632,0.659,0.248,0.886,0.615,0.729,0.842
7,0.750,0.872,0.994,0.296,0.902,0.291,0.395,0.590
30,0.156,0.686,1.244,0.350,1.406,0.275,0.505,1.100
1,0.264,0.264,0.264,0.000,0.000,0.290,0.290,0.290
8,0.267,0.511,0.759,0.141,0.566,0.283,0.440,0.905
