frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
19,0.298,0.753,1.397,0.145,0.570,0.281,0.578,0.873
3,0.837,0.837,0.837,0.155,0.311,0.610,0.610,0.610
41,0.285,0.916,2.521,0.230,1.784,0.270,0.609,2.095
51,0.222,0.823,2.793,0.245,1.737,0.284,0.580,1.436
19,0.290,0.579,1.280,0.125,0.606,0.281,0.449,1.153
4,0.288,0.545,0.802,0.097,0.292,0.278,0.428,0.578
15,0.856,0.971,1.082,0.145,0.294,0.582,0.799,0.887
15,0.294,0.818,1.402,0.160,0.560,0.281,0.624,0.854
19,0.296,0.467,0.877,0.060,0.560,0.272,0.399,0.856
3,0.616,0.616,0.616,0.151,0.302,0.601,0.601,0.601
