frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
86,0.285,1.436,3.900,0.180,0.771,0.150,0.641,1.999
51,0.282,0.883,3.138,0.188,0.848,0.146,0.377,1.510
19,0.288,1.182,1.965,0.121,0.320,0.160,0.559,0.966
11,0.283,1.366,2.449,0.115,0.307,0.157,0.697,1.237
50,0.280,0.862,2.844,0.077,0.466,0.149,0.429,1.554
23,0.285,1.114,2.938,0.120,0.471,0.158,0.624,1.413
69,0.282,1.886,3.481,0.159,0.644,0.151,0.979,1.974
76,0.286,1.599,3.882,0.238,1.459,0.151,0.744,1.755
117,0.281,2.006,6.831,0.409,3.000,0.154,0.767,2.571
48,0.273,1.088,3.491,0.143,0.499,0.157,0.537,1.779
