frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
13,0.256,0.531,0.758,0.038,0.156,0.150,0.292,0.494
94,0.260,0.942,4.378,0.202,1.571,0.153,0.422,1.222
48,0.259,0.517,2.011,0.045,0.356,0.147,0.274,1.100
17,0.501,0.713,0.982,0.067,0.346,0.299,0.355,0.514
37,0.265,0.538,1.213,0.037,0.167,0.147,0.314,0.715
22,0.256,1.043,2.141,0.248,0.901,0.147,0.382,0.501
18,0.270,0.719,0.986,0.105,0.352,0.153,0.344,0.610
18,0.701,0.859,1.156,0.100,0.318,0.297,0.410,0.646
12,0.273,0.719,1.200,0.115,0.306,0.161,0.313,0.462
5,1.185,1.185,1.185,0.076,0.152,0.607,0.607,0.607
