frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
10,0.477,0.644,0.799,0.091,0.322,0.162,0.285,0.345
9,0.831,1.223,1.615,0.078,0.160,0.315,0.556,0.798
12,0.826,1.062,1.334,0.127,0.382,0.344,0.431,0.497
10,0.279,0.840,1.233,0.109,0.320,0.152,0.385,0.518
14,0.694,1.075,1.530,0.103,0.307,0.473,0.588,0.795
15,0.698,0.925,1.030,0.080,0.172,0.325,0.438,0.521
12,0.694,0.948,1.173,0.117,0.340,0.302,0.431,0.512
13,0.972,1.080,1.273,0.139,0.339,0.302,0.419,0.508
24,0.285,0.934,3.328,0.074,0.500,0.167,0.509,1.675
9,0.999,1.134,1.269,0.081,0.171,0.467,0.576,0.684
