frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
50,0.264,0.671,1.986,0.194,1.052,0.269,0.545,1.665
47,0.250,0.612,2.296,0.267,1.480,0.268,0.465,1.191
51,0.253,1.082,7.342,0.352,1.460,0.269,1.134,8.936
24,0.269,0.706,1.888,0.310,2.052,0.274,0.491,1.115
16,0.271,0.411,0.864,0.100,0.546,0.268,0.340,0.583
16,0.269,1.067,2.668,0.313,1.370,0.269,0.682,1.364
45,0.272,2.267,8.795,0.199,0.592,0.280,2.219,9.093
37,0.271,1.030,5.970,0.278,2.796,0.268,0.804,3.910
22,0.266,0.475,1.377,0.055,0.278,0.276,0.441,1.386
55,0.272,2.081,7.862,0.187,0.563,0.264,2.320,9.415
