frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
24,0.547,1.179,3.065,0.312,1.058,0.279,0.877,2.184
4,0.818,0.818,0.818,0.094,0.281,0.854,0.854,0.854
5,0.209,0.561,0.912,0.184,0.280,0.825,4.695,8.565
135,0.264,2.015,11.153,0.721,3.818,0.273,1.579,10.359
44,0.793,5.277,9.762,1.397,3.360,0.814,4.380,7.946
2,0.499,0.499,0.499,0.000,0.000,0.569,0.569,0.569
21,0.274,0.759,1.635,0.536,3.857,0.272,0.567,1.129
89,0.262,1.629,10.217,1.655,12.792,0.273,1.125,5.020
158,0.265,3.200,33.091,6.200,49.593,0.275,0.854,5.487
35,0.277,0.942,2.141,0.290,1.353,0.272,0.686,1.180
