frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
8,0.250,0.566,0.781,0.109,0.273,0.279,0.549,0.821
3,0.661,0.661,0.661,0.143,0.286,0.576,0.576,0.576
15,0.243,0.784,1.239,0.094,0.290,0.278,0.906,1.367
15,0.234,0.577,1.517,0.155,0.567,0.278,0.581,1.812
5,0.239,0.304,0.488,0.000,0.000,0.272,0.348,0.557
10,0.237,0.417,0.656,0.000,0.000,0.281,0.684,1.284
7,0.642,0.774,0.907,0.142,0.290,0.547,0.706,0.865
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.757,0.824,0.891,0.226,0.563,0.566,0.715,0.865
47,0.532,1.561,3.774,1.009,8.695,0.542,1.504,2.768
