frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
171,0.156,0.709,5.827,0.185,1.720,0.129,0.394,3.400
246,0.165,0.819,9.429,0.208,3.313,0.133,0.481,5.458
127,0.154,0.721,3.245,0.223,1.543,0.132,0.456,2.736
238,0.145,0.803,6.471,0.210,1.552,0.131,0.570,7.211
295,0.151,0.974,12.356,0.302,5.569,0.131,0.599,10.771
32,0.159,0.285,1.014,0.061,0.307,0.136,0.241,1.305
19,0.134,0.387,1.086,0.042,0.277,0.134,0.298,0.692
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91,0.152,0.376,2.123,0.068,1.012,0.131,0.242,1.547
190,0.159,0.495,2.663,0.123,2.099,0.130,0.299,2.334
