frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
10,0.442,0.791,1.000,0.151,0.307,0.309,0.705,0.907
19,0.277,1.463,2.519,0.485,2.263,0.284,0.859,1.449
27,0.261,0.467,1.418,0.125,0.866,0.283,0.411,0.872
20,0.273,0.536,1.058,0.050,0.303,0.271,0.514,1.111
9,0.274,0.664,0.920,0.076,0.302,0.294,0.791,1.189
9,0.666,1.071,1.477,0.326,0.843,0.543,0.698,0.853
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.278,0.823,2.192,0.346,1.809,0.277,0.353,0.550
9,0.251,0.580,0.982,0.058,0.290,0.276,0.587,1.216
46,0.257,0.862,3.440,0.478,3.887,0.277,0.657,3.592
