frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
47,0.144,0.242,0.725,0.033,0.285,0.132,0.191,0.528
28,0.144,0.318,0.558,0.064,0.343,0.131,0.228,0.320
6,0.143,0.184,0.312,0.000,0.000,0.159,0.191,0.313
4,0.148,0.288,0.428,0.000,0.000,0.134,0.269,0.403
1,0.156,0.156,0.156,0.000,0.000,0.140,0.140,0.140
10,0.283,0.379,0.463,0.081,0.287,0.138,0.248,0.416
7,0.114,0.252,0.583,0.000,0.000,0.133,0.266,0.639
8,0.146,0.244,0.467,0.024,0.143,0.149,0.209,0.293
4,0.157,0.294,0.431,0.000,0.000,0.149,0.300,0.451
32,0.103,0.351,2.201,0.168,1.910,0.131,0.188,0.525
