frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
29,0.510,0.849,1.071,0.286,0.829,0.575,1.088,1.499
25,1.083,1.228,1.383,0.351,0.871,1.373,1.671,2.198
17,0.171,0.498,1.026,0.152,0.530,0.280,0.729,1.732
47,0.177,0.978,1.493,0.371,1.349,0.289,1.276,2.344
25,0.146,0.614,1.125,0.258,0.827,0.282,0.812,1.493
29,0.178,0.842,1.583,0.343,1.120,0.273,1.001,2.174
17,0.691,0.833,0.963,0.272,0.832,0.812,1.005,1.363
32,0.182,0.751,1.347,0.413,1.350,0.279,0.887,1.392
30,0.852,1.030,1.489,0.403,1.151,1.119,1.302,1.753
42,0.179,0.861,1.901,0.359,1.671,0.268,1.091,2.248
