frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
20,0.728,0.880,1.203,0.238,0.615,0.581,1.044,1.521
14,1.042,1.213,1.383,0.073,0.291,1.453,1.931,2.409
14,0.537,0.734,0.875,0.349,1.110,0.839,1.248,1.456
14,0.698,0.779,0.825,0.372,0.866,0.573,0.576,0.580
22,0.192,0.389,0.952,0.237,1.171,0.282,0.392,0.628
12,0.183,0.512,0.836,0.167,0.577,0.289,0.587,1.178
15,1.179,1.282,1.386,0.379,1.131,1.132,1.477,1.822
11,0.831,0.949,1.068,0.147,0.309,1.266,1.336,1.405
12,0.565,0.686,0.857,0.251,0.878,0.577,0.684,0.886
13,0.197,0.651,1.174,0.341,0.940,0.312,0.815,1.567
