frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
14,0.542,0.655,0.723,0.181,0.603,0.897,1.162,1.532
23,0.186,0.670,1.137,0.354,1.158,0.283,0.956,1.836
11,0.540,0.751,0.962,0.423,1.031,0.583,0.947,1.311
15,0.177,0.761,1.197,0.477,1.146,1.182,1.384,1.753
15,0.177,0.582,1.082,0.257,0.882,0.294,0.809,1.455
21,0.174,0.515,1.432,0.136,0.617,0.302,0.907,2.673
18,0.168,0.949,1.497,0.453,1.174,0.286,1.228,1.707
23,0.947,1.006,1.087,0.394,1.013,1.825,1.926,2.114
75,0.171,1.391,3.904,0.785,5.855,0.284,0.914,2.107
23,0.185,0.823,1.386,0.354,0.903,0.281,1.250,2.123
