frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
5,0.893,0.893,0.893,0.461,0.923,1.374,1.374,1.374
18,0.250,1.834,3.419,0.152,0.456,0.462,3.922,7.382
7,0.734,0.786,0.839,0.363,0.912,0.457,0.904,1.352
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,1.157,1.275,1.394,0.878,1.894,1.416,1.421,1.427
7,1.520,1.520,1.520,0.462,0.924,2.338,2.338,2.338
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,2.141,2.141,2.141,0.231,0.461,4.616,4.616,4.616
23,1.861,2.202,2.543,1.783,5.249,1.377,1.408,1.439
