frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
2,0.508,0.508,0.508,0.000,0.000,0.919,0.919,0.919
24,0.248,0.795,1.852,0.629,3.288,0.473,1.232,1.902
5,1.072,1.072,1.072,0.000,0.000,2.352,2.352,2.352
7,1.705,1.705,1.705,0.463,0.935,2.336,2.336,2.336
21,4.360,4.360,4.360,17.475,17.475,2.321,2.321,2.321
4,0.256,0.511,0.767,0.784,3.135,0.472,0.709,0.946
37,3.139,3.467,3.795,0.465,0.930,7.448,8.923,10.398
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0.241,1.106,3.079,0.563,3.229,0.469,1.677,4.160
55,0.237,1.064,6.704,0.692,3.209,0.448,1.775,12.609
